SOURCE,type,trt_functional,order,replicates,insect_dens,insect_densSE,damagescore,damagescore_SE,application,app_SE,rate,cost,yield1,yield1_SE,yield2,yield2_SE,disease,dis_rating,disrating_SE,beneficial insect,beneficial insect value,beneficial insect_SE,,,,,,,,,,,,,,,
1,specialty,control,coleoptera,4,11.2,.,0,.,0,.,0.22,0,0,.,0,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
1,specialty,control,coleoptera,4,13.2,.,0,.,0,.,0.22,0,8,.,12,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
1,specialty,standard,coleoptera,2,.,.,18.725,.,2,.,0.22,74.12,22289,.,97.6,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
1,specialty,standard,coleoptera,4,4.1,.,8,.,8,.,0.22,296.48,1232,.,53,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
1,specialty,standard,coleoptera,4,3,.,2,.,8,.,0.22,296.48,45,.,37,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
1,specialty,threshold,coleoptera,2,.,.,18.4,.,11,.,.,407.66,20878,.,99.4,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
1,specialty,threshold,coleoptera,4,2.1,.,10,.,12,.,0.22,444.72,3920,.,93,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
1,specialty,threshold,coleoptera,4,1.5,.,3,.,11,.,0.22,407.66,304,.,48,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,control,thysanoptera,5,2.4,0.4,44.33333333,.,0,.,.,.,49.64,.,.,.,Iris yellow spot disease,3.25,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,control,thysanoptera,5,3.2,0.4,86.73333333,.,0,.,.,.,34.4,.,.,.,Iris yellow spot disease,3.73,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,control,thysanoptera,5,3.5,0.5,.,.,0,.,.,.,46.09,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,control,thysanoptera,5,4,0.5,.,.,0,.,.,.,23.73,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,control,thysanoptera,5,3.6,0.5,73.2,.,0,.,.,.,30.65,.,.,.,Iris yellow spot disease,3.66,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,control,thysanoptera,5,4.9,0.8,.,.,0,.,.,.,41.16,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,standard,thysanoptera,5,0.8,0.1,.,.,7,.,.,.,53.49,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,standard,thysanoptera,5,0.7,0.1,12,.,7,.,.,.,52.75,.,.,.,Iris yellow spot disease,2.48,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,standard,thysanoptera,5,0.7,0.2,.,.,6,.,.,.,48.02,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,standard,thysanoptera,5,1.1,0.2,.,.,7,.,.,.,38.28,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
2,specialty,standard,thysanoptera,5,0.6,0.2,6.966666667,.,6,.,.,.,58.37,.,.,.,Iris yellow spot disease,2.55,.,.,.,.,,,,,,,,,,,,,,,
