SOURCE,TITLE,AUTHOR,YEAR,Digital Object Identifier (DOI)
1,AnActionThresholdforManagementofthePepperWeevil(Coleoptera:Curculionidae)onBellPeppers,Cartwright,1990,https://doi.org/10.1093/jee/83.5.2003
2,Evaluating integrated pest management tactics for onion thrips andpathogens they transmit to onion,Leach,2017,http://dx.doi.org/10.1016/j.agee.2017.08.031
3,"ManagementoftheCabbageLooperlandDiamondbackMoth2onCabbagebyUsingTwoDamageThresholdsandFiveInsecticideTreatments3,",Workman,1980,https://doi.org/10.1093/jee/73.6.757 
4,Evaluating an Action Threshold-Based InsecticideProgram on Onion Cultivars Varying in Resistance toOnion Thrips (Thysanoptera: Thripidae),Nault,2016,10.1093/jee/tow112
5,Management of Cabbage Caterpillars in Florida and Georgia by Using Visual,Chalfant,1979,https://doi.org/10.1093/jee/72.3.411
6,"Evaluation of Partial Plant Sampling Procedures and
Corresponding Action Thresholds for Management of
Lepidoptera on Cabbage",Sears,1985,https://doi.org/10.1093/jee/78.4.913
7,"Economic Threshold for Three Lepidopterous Larval Pests of
Fresh-Market Cabbage in Southeastern New Brunswick",Maltias,1998,https://doi.org/10.1093/jee/91.3.699
8,Evaluation of action threshold-based insecticide spray programs fortomato fruitworm management in fresh-market tomatoes in Virginia,Kuhar,2005,doi:10.1016/j.cropro.2005.08.016
9,Evaluation of Action Thresholds and Spinosad for Lepidopteran PestManagement in Minnesota Cabbage,Hines,2001,https://doi-org.ezproxy.lib.purdue.edu/10.1603/0022-0493-94.1.190
10,"Evaluation of Current Tarnished Plant Bug (Hemiptera:
Miridae) Thresholds in Transgenic MON 88702 Cotton
Expressing the Bt Cry51Aa2.834_16 Trait",Corbin,2020,doi: 10.1093/jee/toaa075
11,Evaluation of Treatment Thresholds for Helicoverpa zea (Lepidoptera: Noctuidae) in Non-Bt and Dual-Gene Bt Cotton,Carter,2015,https://doi.org/10.3954/JAUE12-25.1
12,"ECONOMIC ANALYSES, INJURY LEVELS AND THRESHOLDS FOR EFFECTIVE MANAGEMENT OF EARIAS VITTELLA (FAB.) ON GOSSYPIUM HIRSUTUM",Jan,2020,https://doi.org/10.36899/JAPS.2020.3.0082  
13,Action Thresholds for the Management of Bemisia tabaci (Homoptera: Aleyrodidae) in Cotton ,Naranjo,1998,https://doi-org.ezproxy.lib.purdue.edu/10.1093/jee/91.6.1415
14,"Evaluation of Insecticide Thresholds in Late-Planted Bt
and Non-Bt Corn for Management of Fall Armyworm
(Lepidoptera: Noctuidae)",Bilbo,2020,doi: 10.1093/jee/toz364 
15,ComparisonofInsecticideUseProgramsforManagingtheStripedCucwnberBeetle(Coleoptera:Chrysomelidae)inMuskmelon,Brust,1996,https://doi.org/10.1093/jee/89.4.981
16,"Evaluating Optimal Spray Timing, Planting Date, and Current Thresholds for Lygus lineolaris (Hemiptera: Miridae) in Virginia and North Carolina Cotton",Aghaee,2019,https://doi.org/10.1093/jee/toy407
17,ActionThresholdsforBemisiaargentifolii(Homoptera:Aleyrodidae)inCantaloupe,Riley,1995,https://doi.org/10.1093/jee/88.6.1733
18,Action Thresholds for Managing Megacopta cribraria (Hemiptera: Plataspidae) in Soybean Based on Sweep-Net Sampling ,Seiter,2015,doi: 10.1093/jee/tov171 
19,Petiole-MiningThresholdsandPotassiumChlorideSpraysforManagementofBeanFly(Diptera:Agromyzidae)inSnapBeansandCowpea,Moorthy,1989,https://doi.org/10.1093/jee/82.1.246
20,Refined  Action  Threshold  for Pepper Weevil  Adults  (Coleoptera:Curculionidae)  in Bell  Peppers,Riley,1992,https://doi.org/10.1093/jee/85.5.1919
21,Use of ActionThresholdsfor Managementof LepidopterousLarvalPestsof Fresh-MarketCabbage,Morisak,1984,https://doi.org/10.1093/jee/77.2.476 
22,CompositeEconomicThresholdforThreeLepidopterousPestsofCabbage,Kirby,1984,https://doi.org/10.1093/jee/77.3.725
23,"Pheromone-Based Action Thresholds for Control of the Swede Midge, Contarinia nasturtii (Diptera: Cecidomyiidae), and Residual Insecticide Efficacy in Cole Crops",Hallett,2013,https://doi.org/10.1603/EC12243 
24,ActionThresholdsforGreenPeachAphidlonPotatoes2inMinnesota,Cancelado,1979,https://doi.org/10.1093/jee/72.4.606
25,EconomicComparisonofInsecticideTreatmentProgramsforManagingTomatoPinworm(Lepidoptera:Gelechiidae)onFallTomatoes,Wiesenborn,1990,https://doi.org/10.1093/jee/83.1.212 
26,EconomicThresholdfor ThreeSpeciesof LepidopterousLarvaeAttackingCauliflowerGrownin SouthernOntario,Stewart,1988,https://doi.org/10.1093/jee/81.6.1726 
27,DynamicActionThresholdLevelsforthePotatoLeafhopper(Homoptera:Cicadellidae)onPotatoesinWisconsin,Walgenbach,1984,https://doi.org/10.1093/jee/77.5.1335
28,Composite Action Thresholds for the Control of Lepidopterous Pests on Fresh-market Cabbage in the Lower Rio Grande Valley of Texas,Cartwright,1987,https://doi.org/10.1093/jee/80.1.175
29,Evaluationof VisualDamageThresholdsfor ManagementofCabbageCaterpillarsin Floridaand Georgia,Leibee,1984,https://doi.org/10.1093/jee/77.4.1008
30,Integrationof a PhotoelectricallyOperatedIntermittentSprayerwithActionLevelThresholdsforControlof LepidopteranPestsof Cabbage,Ladd,1981,https://doi.org/10.1093/jee/74.6.698
31,Economics of reducing insecticide use on celerythrough low-input pest management strategies,Reitz,1999,https://doi.org/10.1016/S0167-8809(99)00016-X
32,Calendar and monitored insecticide application for the control of cowpea pests,Afun,1991,https://doi.org/10.1016/S0261-2194(06)80025-6
33,"Economic threshold and injury levels for controlof cowpea aphid,Aphis crassivoraLinnaeus(Homoptera: Aphididae), on cowpea",Obopile,2006,https://journals.co.za/content/plantpro/12/1/EJC87791
34,"Developing nominal threshold levels for Phyllotreta cruciferae (Coleoptera: Chrysomelidae) damage on canola in Montana, USA",Tangtrakulwanich,2014,https://doi.org/10.1016/j.cropro.2014.08.013
35,Implementing Reduced-Risk Integrated Pest Management inFresh-Market Cabbage: Improved Net Returns via Scoutingand Timing of Effective Control,Burkness,2008,10.1603/0022-0493 
36,Effect of integrated pest management practices on tomato production and conservation of natural enemies,Picanco,2007,DOI:10.1111/j.1461-9563.2007.00346.x
